id,conditions,item,slider_value,read_time,image_error
60f58d01a44df,farbe_unscharf,84,90,[3749],False
60f58d01a44df,dap,23,16,[5456],False
60f58d01a44df,farbe_scharf,151,88,[4278],False
60f69be28c222,grosse_unscharf,128,0,[8016],False
60f69be28c222,grosse_unscharf,112,0,[7595],False
60f69be28c222,grosse_scharf,51,0,[5655],False
60f69be28c222,farbe_scharf,153,0,[22053],False
60f69be28c222,farbe_scharf,166,0,[8531],False
60f69be28c222,grosse_scharf,35,0,[4494],False
60f69be28c222,grosse_scharf,48,0,[3948],False
60f69be28c222,grosse_scharf,38,0,[8310],False
60f69be28c222,dap,20,100,[9072],False
60f69be28c222,dap,16,100,[5755],False
60f69be28c222,grosse_unscharf,118,0,[9648],False
60f69be28c222,farbe_unscharf,89,0,[5768],False
60f69be28c222,farbe_scharf,144,0,[3968],False
60f69be28c222,grosse_unscharf,121,0,[3461],False
60f69be28c222,dap,18,0,[40505],False
60f69be28c222,grosse_scharf,57,0,[7230],False
60f69be28c222,dap,24,100,[5865],False
60f69be28c222,grosse_unscharf,102,0,[5085],False
60f69be28c222,grosse_unscharf,131,0,[6587],False
